Election,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
LEGISLATIVE ELECTION,TERRIER-ROUGE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,TROU-DU-NORD-CARACOL,AUGUST AND OCTOBER 2015,WANIQUE PIERRE,PHTK,"5,139",35.1,"8,940",51,,
LEGISLATIVE ELECTION,TROU-DU-NORD-CARACOL,AUGUST AND OCTOBER 2015,Donal Dorsainvil,Verite,"4,508",30.8,"8,569",48.8,,
LEGISLATIVE ELECTION,TROU-DU-NORD-CARACOL,AUGUST AND OCTOBER 2015,Maurice Jean-Gilles,Pitit Dess,"1,647",11.2,,,,
LEGISLATIVE ELECTION,TROU-DU-NORD-CARACOL,AUGUST AND OCTOBER 2015,Jean Claude François,KP,"1,387",9.5,,,,
LEGISLATIVE ELECTION,TROU-DU-NORD-CARACOL,AUGUST AND OCTOBER 2015,Edwight Rozefort,AAA,816,5.6,,,,
LEGISLATIVE ELECTION,TROU-DU-NORD-CARACOL,AUGUST AND OCTOBER 2015,3 others,,,,,,,
LEGISLATIVE ELECTION,TROU-DU-NORD-CARACOL,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,VALLIERES-CARICE,AUGUST AND OCTOBER 2015,JEAN BERTHOLE BASTIEN,PHTK,"2,343",32.2,"3,406",50.2,,
LEGISLATIVE ELECTION,VALLIERES-CARICE,AUGUST AND OCTOBER 2015,Phanese R,,,,,,,
LEGISLATIVE ELECTION,VALLIERES-CARICE,AUGUST AND OCTOBER 2015,Laguerre Jean Baptiste,OPL,"1,573",21.6,"3,358",49.6,,
LEGISLATIVE ELECTION,VALLIERES-CARICE,AUGUST AND OCTOBER 2015,Anne Catherine Accilus,Fusion,"1,159",15.9,,,,
LEGISLATIVE ELECTION,VALLIERES-CARICE,AUGUST AND OCTOBER 2015,Ornecifort Phanor,Pitit Dess,741,10.2,,,,
LEGISLATIVE ELECTION,VALLIERES-CARICE,AUGUST AND OCTOBER 2015,Edlyn Jn Simon,Verite,732,10,,,,
LEGISLATIVE ELECTION,VALLIERES-CARICE,AUGUST AND OCTOBER 2015,Joseph Celigny Celicourt,PRHA,494,6.8,,,,
LEGISLATIVE ELECTION,VALLIERES-CARICE,AUGUST AND OCTOBER 2015,2 others,,,,,,,
LEGISLATIVE ELECTION,VALLIERES-CARICE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DEPARTMENT OF NORD OUEST,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DEPARTMENT OF NORD OUEST,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,ANSE-A-FOLEUR,AUGUST AND OCTOBER 2015,Louis-Marie Bonhomme,Pont,"1,786",33.9,,,,
LEGISLATIVE ELECTION,ANSE-A-FOLEUR,AUGUST AND OCTOBER 2015,APPOLIUS RAPHAEL,Fanmi L,"1,447",27.4,,,,
LEGISLATIVE ELECTION,ANSE-A-FOLEUR,AUGUST AND OCTOBER 2015,Joas Velly Joseph,KID,"1,294",24.5,,,,
LEGISLATIVE ELECTION,ANSE-A-FOLEUR,AUGUST AND OCTOBER 2015,Inalio Noel,Mosano,288,5.5,,,,
LEGISLATIVE ELECTION,ANSE-A-FOLEUR,AUGUST AND OCTOBER 2015,Patricia Paul,AAA,276,5.2,,,,
LEGISLATIVE ELECTION,ANSE-A-FOLEUR,AUGUST AND OCTOBER 2015,1 other,,,,,,,
LEGISLATIVE ELECTION,ANSE-A-FOLEUR,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,BASSIN-BLEU,AUGUST AND OCTOBER 2015,DENIS SAINT-FORT,PHTK,"1,057",19.9,"3,714",53.2,,
LEGISLATIVE ELECTION,BASSIN-BLEU,AUGUST AND OCTOBER 2015,Wilbens Sylvain,Renmen Ayiti,952,17.9,"3,199",45.9,,
LEGISLATIVE ELECTION,BASSIN-BLEU,AUGUST AND OCTOBER 2015,Hilaire Romual Joubert,Ateri,887,16.7,,,,
LEGISLATIVE ELECTION,BASSIN-BLEU,AUGUST AND OCTOBER 2015,Fedeline Vil,Pont,845,15.9,,,,
LEGISLATIVE ELECTION,BASSIN-BLEU,AUGUST AND OCTOBER 2015,Jeir Pierre,KID,822,15.5,,,,
LEGISLATIVE ELECTION,BASSIN-BLEU,AUGUST AND OCTOBER 2015,Jean Andre Aurelien,Pitit Dess,313,5.9,,,,
LEGISLATIVE ELECTION,BASSIN-BLEU,AUGUST AND OCTOBER 2015,2 others,,,,,,,
LEGISLATIVE ELECTION,BASSIN-BLEU,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,BOMBARDOPOLIS-BAIE DE HENNE,AUGUST AND OCTOBER 2015,NONCILES VALBRUN,Verite,"2,802",29.8,"6,216",57,,
LEGISLATIVE ELECTION,BOMBARDOPOLIS-BAIE DE HENNE,AUGUST AND OCTOBER 2015,Jean Michel Moise,PF,"1,184",12.6,"4,635",42.5,,
LEGISLATIVE ELECTION,BOMBARDOPOLIS-BAIE DE HENNE,AUGUST AND OCTOBER 2015,Saint Fanis Telcin,Fanmi L,"1,121",11.9,,,,
LEGISLATIVE ELECTION,BOMBARDOPOLIS-BAIE DE HENNE,AUGUST AND OCTOBER 2015,Pierre Monique Joseph,AAA,"1,079",11.5,,,,
LEGISLATIVE ELECTION,BOMBARDOPOLIS-BAIE DE HENNE,AUGUST AND OCTOBER 2015,Jusclaire Dorgil,OPL,"1,044",11.1,,,,
LEGISLATIVE ELECTION,BOMBARDOPOLIS-BAIE DE HENNE,AUGUST AND OCTOBER 2015,Gasby Jacques,PHTK,837,8.9,,,,
LEGISLATIVE ELECTION,BOMBARDOPOLIS-BAIE DE HENNE,AUGUST AND OCTOBER 2015,5 others,,,,,,,
LEGISLATIVE ELECTION,BOMBARDOPOLIS-BAIE DE HENNE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,CHANSOLME,AUGUST AND OCTOBER 2015,FILS JOSEPH,OPL,835,32.6,"2,493",60.2,,
LEGISLATIVE ELECTION,CHANSOLME,AUGUST AND OCTOBER 2015,Théophile Pierre,Pont,706,27.6,"1,636",39.5,,
LEGISLATIVE ELECTION,CHANSOLME,AUGUST AND OCTOBER 2015,Pierre Martin Tatoute,Verite,401,15.7,,,,
LEGISLATIVE ELECTION,CHANSOLME,AUGUST AND OCTOBER 2015,Chanoine Fertil,Fanmi L,276,10.8,,,,
LEGISLATIVE ELECTION,CHANSOLME,AUGUST AND OCTOBER 2015,Fedmond Mazard,PHTK,245,9.6,,,,
LEGISLATIVE ELECTION,CHANSOLME,AUGUST AND OCTOBER 2015,1 other,,,,,,,
LEGISLATIVE ELECTION,CHANSOLME,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,JEAN-RABEL,AUGUST AND OCTOBER 2015,Jean-Wysner Gentilhomme,Mosano,"3,458",21.2,"9,312",48.3,,
LEGISLATIVE ELECTION,JEAN-RABEL,AUGUST AND OCTOBER 2015,GERARD THERAMENE,Verite,"3,144",19.3,"9,928",51.5,,
LEGISLATIVE ELECTION,JEAN-RABEL,AUGUST AND OCTOBER 2015,Wilner Saintil,PHTK,"1,797",11,,,,
LEGISLATIVE ELECTION,JEAN-RABEL,AUGUST AND OCTOBER 2015,Remy Julmiste,OPL,"1,667",10.2,,,,
LEGISLATIVE ELECTION,JEAN-RABEL,AUGUST AND OCTOBER 2015,Yavelina Jean-Marie,Pont,"1,510",9.3,,,,
LEGISLATIVE ELECTION,JEAN-RABEL,AUGUST AND OCTOBER 2015,Sylvain Louisdor,Mopam,943,5.8,,,,
LEGISLATIVE ELECTION,JEAN-RABEL,AUGUST AND OCTOBER 2015,8 others,,,,,,,
LEGISLATIVE ELECTION,JEAN-RABEL,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,LA TORTUE,AUGUST AND OCTOBER 2015,JEAN ASTHENE,Mosano,"1,932",37.3,"3,199",53.9,,
LEGISLATIVE ELECTION,LA TORTUE,AUGUST AND OCTOBER 2015,Acilus Gros-Negre,Pont,"1,187",22.9,"2,723",45.9,,
LEGISLATIVE ELECTION,LA TORTUE,AUGUST AND OCTOBER 2015,Lidnert Joseph,Fusion,835,16.1,,,,
LEGISLATIVE ELECTION,LA TORTUE,AUGUST AND OCTOBER 2015,Rolin Joseph,Fanmi L,567,11,,,,
LEGISLATIVE ELECTION,LA TORTUE,AUGUST AND OCTOBER 2015,Saint-Luc Louissaint,Renmen Ayiti,378,7.3,,,,
LEGISLATIVE ELECTION,LA TORTUE,AUGUST AND OCTOBER 2015,2 others,,,,,,,
LEGISLATIVE ELECTION,LA TORTUE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,MOLE SAINT-NICOLAS,AUGUST AND OCTOBER 2015,Eloune Doreus,OPL,"2,828",34.1,,,,
LEGISLATIVE ELECTION,MOLE SAINT-NICOLAS,AUGUST AND OCTOBER 2015,Yves Dupras,Verite,"2,047",24.7,,,,
LEGISLATIVE ELECTION,MOLE SAINT-NICOLAS,AUGUST AND OCTOBER 2015,Joseph Darnley Plancher,Respe,"1,769",21.4,,,,
LEGISLATIVE ELECTION,MOLE SAINT-NICOLAS,AUGUST AND OCTOBER 2015,Francisque Graduel,Pont,"1,020",12.3,,,,
LEGISLATIVE ELECTION,MOLE SAINT-NICOLAS,AUGUST AND OCTOBER 2015,5 others,,,,,,,
LEGISLATIVE ELECTION,MOLE SAINT-NICOLAS,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,PORT-DE-PAIX,AUGUST AND OCTOBER 2015,Tony Antonelly Francois,PHTK,"2,345",11.6,,,,
LEGISLATIVE ELECTION,PORT-DE-PAIX,AUGUST AND OCTOBER 2015,Leslie Gelin,Pont,"2,326",11.5,"13,388",46.1,,
LEGISLATIVE ELECTION,PORT-DE-PAIX,AUGUST AND OCTOBER 2015,JEAN MARY FORESTAL,KP,"2,011",10,"15,116",52,,
LEGISLATIVE ELECTION,PORT-DE-PAIX,AUGUST AND OCTOBER 2015,Amyot Louystz Francois,Bouclier,"1,966",9.8,,,,
LEGISLATIVE ELECTION,PORT-DE-PAIX,AUGUST AND OCTOBER 2015,Wilner Agenor,Mosano,"1,939",9.6,,,,
LEGISLATIVE ELECTION,PORT-DE-PAIX,AUGUST AND OCTOBER 2015,Daniel Loriston,KID,"1,911",9.5,,,,
LEGISLATIVE ELECTION,PORT-DE-PAIX,AUGUST AND OCTOBER 2015,Wisly Lorfils,Pitit Dess,"1,501",7.5,,,,
LEGISLATIVE ELECTION,PORT-DE-PAIX,AUGUST AND OCTOBER 2015,12 others,,,,,,,
LEGISLATIVE ELECTION,PORT-DE-PAIX,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,SAINT LOUIS NORD,AUGUST AND OCTOBER 2015,FREUD MAURANCY,Mosano,"2,672",22.3,"9,329",70.6,,
LEGISLATIVE ELECTION,SAINT LOUIS NORD,AUGUST AND OCTOBER 2015,Webelaire A Dufresne,Pont,"1,433",12,"3,825",28.9,,
LEGISLATIVE ELECTION,SAINT LOUIS NORD,AUGUST AND OCTOBER 2015,Kedna Caprice,Fusion,"1,016",8.5,,,,
LEGISLATIVE ELECTION,SAINT LOUIS NORD,AUGUST AND OCTOBER 2015,Gabart Pascal,Bouclier,875,7.3,,,,
LEGISLATIVE ELECTION,SAINT LOUIS NORD,AUGUST AND OCTOBER 2015,Napela Saintil,Consortium,777,6.5,,,,
LEGISLATIVE ELECTION,SAINT LOUIS NORD,AUGUST AND OCTOBER 2015,Jacques Garçon,KID,716,6,,,,
LEGISLATIVE ELECTION,SAINT LOUIS NORD,AUGUST AND OCTOBER 2015,Jean Ronel Fertil,PPG18,712,5.9,,,,
LEGISLATIVE ELECTION,SAINT LOUIS NORD,AUGUST AND OCTOBER 2015,Jean Souffrant,APLA,659,5.5,,,,
LEGISLATIVE ELECTION,SAINT LOUIS NORD,AUGUST AND OCTOBER 2015,Dominique Mareus,Verite,625,5.2,,,,
LEGISLATIVE ELECTION,SAINT LOUIS NORD,AUGUST AND OCTOBER 2015,8 others,,,,,,,
LEGISLATIVE ELECTION,SAINT LOUIS NORD,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DEPARTMENT OF OUEST,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DEPARTMENT OF OUEST,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,ANSE A GALETS,AUGUST AND OCTOBER 2015,MICALERME PIERRE,Renmen Ayiti,"2,113",27.7,"7,223",62.9,,
LEGISLATIVE ELECTION,ANSE A GALETS,AUGUST AND OCTOBER 2015,Wilnique Pierre,Kontrapepla,"1,214",15.9,"4,209",36.6,,
LEGISLATIVE ELECTION,ANSE A GALETS,AUGUST AND OCTOBER 2015,Elonie Audain Fleurima,Reklam,"1,197",15.7,,,,
LEGISLATIVE ELECTION,ANSE A GALETS,AUGUST AND OCTOBER 2015,Rebens Edouard,Pont,737,9.7,,,,
LEGISLATIVE ELECTION,ANSE A GALETS,AUGUST AND OCTOBER 2015,Marie Ganette Galiotte,PHTK,640,8.4,,,,
LEGISLATIVE ELECTION,ANSE A GALETS,AUGUST AND OCTOBER 2015,Elder Joseph,Verite,473,6.2,,,,
LEGISLATIVE ELECTION,ANSE A GALETS,AUGUST AND OCTOBER 2015,6 others,,,,,,,
LEGISLATIVE ELECTION,ANSE A GALETS,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,ARCAHAIE,AUGUST AND OCTOBER 2015,Pierre Fequiere Julien,Canaan,"3,018",20.3,,,,
LEGISLATIVE ELECTION,ARCAHAIE,AUGUST AND OCTOBER 2015,Joseph Lucien Jura,PHTK,"2,839",19.1,,,,
LEGISLATIVE ELECTION,ARCAHAIE,AUGUST AND OCTOBER 2015,Wilner Rene,Verite,"1,878",12.6,,,,
LEGISLATIVE ELECTION,ARCAHAIE,AUGUST AND OCTOBER 2015,Ireste Joseph,Fanmi L,"1,507",10.1,,,,
LEGISLATIVE ELECTION,ARCAHAIE,AUGUST AND OCTOBER 2015,Jean-Pierre Aboutou,LAPEH,"1,429",9.6,,,,
LEGISLATIVE ELECTION,ARCAHAIE,AUGUST AND OCTOBER 2015,Jean Jackson Michel,AAA,"1,152",7.7,,,,
LEGISLATIVE ELECTION,ARCAHAIE,AUGUST AND OCTOBER 2015,10 others,,,,,,,
LEGISLATIVE ELECTION,ARCAHAIE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,CABARET,AUGUST AND OCTOBER 2015,Joseph Manes Louis,Fanmi L,"4,108",31.5,,,,
LEGISLATIVE ELECTION,CABARET,AUGUST AND OCTOBER 2015,Judith Drouillard Benoit,Verite,"1,825",14,,,,
LEGISLATIVE ELECTION,CABARET,AUGUST AND OCTOBER 2015,Pierre Sadrac Fenelus,Renmen Ayiti,"1,825",14,,,,
LEGISLATIVE ELECTION,CABARET,AUGUST AND OCTOBER 2015,Jean Rodrigue Paul,OPL,"1,805",13.8,,,,
LEGISLATIVE ELECTION,CABARET,AUGUST AND OCTOBER 2015,Joseph Martial Depas,AAA,"1,153",8.8,,,,
LEGISLATIVE ELECTION,CABARET,AUGUST AND OCTOBER 2015,7 others,,,,,,,
LEGISLATIVE ELECTION,CABARET,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,CARREFOUR,AUGUST AND OCTOBER 2015,JACQUES BEAUVIL,Verite,"3,070",15.1,"28,642",62,,
LEGISLATIVE ELECTION,CARREFOUR,AUGUST AND OCTOBER 2015,Romage Fritzner Millien,Fanmi L,"2,567",12.6,"15,300",33.1,,
LEGISLATIVE ELECTION,CARREFOUR,AUGUST AND OCTOBER 2015,Elie Blaise,PHTK,"1,978",9.7,,,,
LEGISLATIVE ELECTION,CARREFOUR,AUGUST AND OCTOBER 2015,Harold Domond,KID,"1,731",8.5,,,,
LEGISLATIVE ELECTION,CARREFOUR,AUGUST AND OCTOBER 2015,Lucmanne Delille,Consortium,"1,477",7.3,,,,
LEGISLATIVE ELECTION,CARREFOUR,AUGUST AND OCTOBER 2015,Nadine Anilus,Fusion,"1,087",5.4,,,,
LEGISLATIVE ELECTION,CARREFOUR,AUGUST AND OCTOBER 2015,25 others,,,,,,,
LEGISLATIVE ELECTION,CARREFOUR,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,CITE SOLEIL,AUGUST AND OCTOBER 2015,Lemaire Pierre,Renmen Ayiti,"7,082",26.7,,,,
LEGISLATIVE ELECTION,CITE SOLEIL,AUGUST AND OCTOBER 2015,Almetis Saint-Fleur,OPL,"4,180",15.8,,,,
LEGISLATIVE ELECTION,CITE SOLEIL,AUGUST AND OCTOBER 2015,Luckenson Dalmand,Fusion,"2,906",11,,,,
LEGISLATIVE ELECTION,CITE SOLEIL,AUGUST AND OCTOBER 2015,Nancy Jennifer Andou,Adebha,"1,723",6.5,,,,
LEGISLATIVE ELECTION,CITE SOLEIL,AUGUST AND OCTOBER 2015,Evens Jean,Verite,"1,673",6.3,,,,
LEGISLATIVE ELECTION,CITE SOLEIL,AUGUST AND OCTOBER 2015,31 others,,,,,,,
LEGISLATIVE ELECTION,CITE SOLEIL,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,CORNILLON,AUGUST AND OCTOBER 2015,Raymonde Rival,APLA,"4,546",43.4,,,,
LEGISLATIVE ELECTION,CORNILLON,AUGUST AND OCTOBER 2015,Alphonse Medeus,Verite,"3,034",29,,,,
LEGISLATIVE ELECTION,CORNILLON,AUGUST AND OCTOBER 2015,Lamarre Baptiste,PHTK,"2,374",22.7,,,,
LEGISLATIVE ELECTION,CORNILLON,AUGUST AND OCTOBER 2015,5 others,,,,,,,
LEGISLATIVE ELECTION,CORNILLON,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,CROIX DES BOUQUETS,AUGUST AND OCTOBER 2015,WILLER JEAN JEAN,KID,"2,179",14.2,"17,701",62.2,,
LEGISLATIVE ELECTION,CROIX DES BOUQUETS,AUGUST AND OCTOBER 2015,Eric Cabner,Verite,"1,119",7.3,"9,805",34.5,,
LEGISLATIVE ELECTION,CROIX DES BOUQUETS,AUGUST AND OCTOBER 2015,Pierre Fenel Miracles,Uncrh,891,5.8,,,,
LEGISLATIVE ELECTION,CROIX DES BOUQUETS,AUGUST AND OCTOBER 2015,Guerby Blaise,Bloc 20,770,5,,,,
LEGISLATIVE ELECTION,CROIX DES BOUQUETS,AUGUST AND OCTOBER 2015,33 others,,,,,,,
LEGISLATIVE ELECTION,CROIX DES BOUQUETS,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DELMAS,AUGUST AND OCTOBER 2015,GARY BODEAU,Bouclier,"2,337",16.9,"27,099",56.8,,
LEGISLATIVE ELECTION,DELMAS,AUGUST AND OCTOBER 2015,Ernst Jeudy,Randevous,"1,691",12.2,"17,828",37.4,,
LEGISLATIVE ELECTION,DELMAS,AUGUST AND OCTOBER 2015,Jean Francois Martin,Fanmi L,"1,358",9.8,,,,
LEGISLATIVE ELECTION,DELMAS,AUGUST AND OCTOBER 2015,Evelyne Sainvil,Ppg18,796,5.8,,,,
LEGISLATIVE ELECTION,DELMAS,AUGUST AND OCTOBER 2015,Jacquelin Charlot,Verite,772,5.6,,,,
LEGISLATIVE ELECTION,DELMAS,AUGUST AND OCTOBER 2015,35 others,,,,,,,
LEGISLATIVE ELECTION,DELMAS,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,FONDS-VERRETTES-GANTHIER,AUGUST AND OCTOBER 2015,PIERRE JUDE DESTINE,Verite,"4,924",28.9,"14,992",64.2,,
LEGISLATIVE ELECTION,FONDS-VERRETTES-GANTHIER,AUGUST AND OCTOBER 2015,Francois Sanozier,OPL,"4,559",26.8,"8,163",35,,
LEGISLATIVE ELECTION,FONDS-VERRETTES-GANTHIER,AUGUST AND OCTOBER 2015,Jean Jorel Vil,Renmen Ayiti,"2,255",13.3,,,,
LEGISLATIVE ELECTION,FONDS-VERRETTES-GANTHIER,AUGUST AND OCTOBER 2015,Jean Augustin Brésil,Fusion,"1,146",6.7,,,,
LEGISLATIVE ELECTION,FONDS-VERRETTES-GANTHIER,AUGUST AND OCTOBER 2015,10 others,,,,,,,
LEGISLATIVE ELECTION,FONDS-VERRETTES-GANTHIER,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,GRAND-GOAVE,AUGUST AND OCTOBER 2015,JEAN MARCEL LUMERANT,KID,"4,553",41.3,"7,371",50.2,,
LEGISLATIVE ELECTION,GRAND-GOAVE,AUGUST AND OCTOBER 2015,Jean Philippe Sassine,Verite,"3,575",32.4,"7,265",49.5,,
LEGISLATIVE ELECTION,GRAND-GOAVE,AUGUST AND OCTOBER 2015,Marie Benita Exume,Fusion,"1,593",14.5,,,,
LEGISLATIVE ELECTION,GRAND-GOAVE,AUGUST AND OCTOBER 2015,Wouillio Zamor,Platfòm P,816,7.4,,,,
LEGISLATIVE ELECTION,GRAND-GOAVE,AUGUST AND OCTOBER 2015,6 others,,,,,,,
LEGISLATIVE ELECTION,GRAND-GOAVE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,GRESSIER,AUGUST AND OCTOBER 2015,Joseph Antonio Vericain,PHTK,"3,569",29,,,,
LEGISLATIVE ELECTION,GRESSIER,AUGUST AND OCTOBER 2015,Jean Ronald Oscar,KID,"3,043",24.7,,,,
LEGISLATIVE ELECTION,GRESSIER,AUGUST AND OCTOBER 2015,Jean Elie Val,Verite,"1,507",12.2,,,,
LEGISLATIVE ELECTION,GRESSIER,AUGUST AND OCTOBER 2015,Dorvil Jean Saint Louis,Fanmi L,889,7.2,,,,
LEGISLATIVE ELECTION,GRESSIER,AUGUST AND OCTOBER 2015,Elie Jean,FUN,882,7.2,,,,
LEGISLATIVE ELECTION,GRESSIER,AUGUST AND OCTOBER 2015,15 others,,,,,,,
LEGISLATIVE ELECTION,GRESSIER,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,KENSCOFF,AUGUST AND OCTOBER 2015,ALFREDO JUNIOR ANTOINE,KID,"2,841",35.6,"6,336",63.1,,
LEGISLATIVE ELECTION,KENSCOFF,AUGUST AND OCTOBER 2015,Andre Gustave Louis,PHTK,"1,674",21,"3,575",35.6,,
LEGISLATIVE ELECTION,KENSCOFF,AUGUST AND OCTOBER 2015,Lesly Fanfan,Verite,918,11.5,,,,
LEGISLATIVE ELECTION,KENSCOFF,AUGUST AND OCTOBER 2015,Jose Joseph,OPL,862,10.8,,,,
LEGISLATIVE ELECTION,KENSCOFF,AUGUST AND OCTOBER 2015,Jean Wilner Joseph,Greh,835,10.5,,,,
LEGISLATIVE ELECTION,KENSCOFF,AUGUST AND OCTOBER 2015,7 others,,,,,,,
LEGISLATIVE ELECTION,KENSCOFF,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,LEOGANE,AUGUST AND OCTOBER 2015,JEAN WILSON HIPPOLITE,PHTK,"9,214",48.8,"17,107",56.7,,
LEGISLATIVE ELECTION,LEOGANE,AUGUST AND OCTOBER 2015,Jean Baptiste Dumont,RPH,"5,248",27.8,"12,749",42.2,,
LEGISLATIVE ELECTION,LEOGANE,AUGUST AND OCTOBER 2015,Guston Jean Louis,Fanmi L,"3,085",16.3,,,,
LEGISLATIVE ELECTION,LEOGANE,AUGUST AND OCTOBER 2015,4 others,,,,,,,
LEGISLATIVE ELECTION,LEOGANE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,PETION-VILLE,AUGUST AND OCTOBER 2015,JERRY TARDIEU,Verite,"6,247",30.9,"30,633",70.5,,
LEGISLATIVE ELECTION,PETION-VILLE,AUGUST AND OCTOBER 2015,Jean Israel PhinÃ©us,Fanmi L,"1,689",8.3,"11,039",25.4,,
LEGISLATIVE ELECTION,PETION-VILLE,AUGUST AND OCTOBER 2015,28 others,,,,,,,
LEGISLATIVE ELECTION,PETION-VILLE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,PETIT-GOAVE,AUGUST AND OCTOBER 2015,Germain Fils Alexandre,Verite,"8,359",38.6,"18,012",64.9,,
LEGISLATIVE ELECTION,PETIT-GOAVE,AUGUST AND OCTOBER 2015,Stevenson Thimoleon,PHTK,"5,700",26.4,"9,551",34.4,,
LEGISLATIVE ELECTION,PETIT-GOAVE,AUGUST AND OCTOBER 2015,Kebreau Zamor,OPL,"3,239",15,,,,
LEGISLATIVE ELECTION,PETIT-GOAVE,AUGUST AND OCTOBER 2015,Martial Beneche,Konfyans,"2,172",10,,,,
LEGISLATIVE ELECTION,PETIT-GOAVE,AUGUST AND OCTOBER 2015,9 others,,,,,,,
LEGISLATIVE ELECTION,PETIT-GOAVE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,POINTE A RAQUETTE,AUGUST AND OCTOBER 2015,JACKIE GUERRIER,Inite Patr,"2,611",49,,,,
LEGISLATIVE ELECTION,POINTE A RAQUETTE,AUGUST AND OCTOBER 2015,Bosener Joseph,Verite,721,13.5,,,,
LEGISLATIVE ELECTION,POINTE A RAQUETTE,AUGUST AND OCTOBER 2015,Feed Saint-Victor,OPL,667,12.5,,,,
LEGISLATIVE ELECTION,POINTE A RAQUETTE,AUGUST AND OCTOBER 2015,Jones Lagrandeur,Fusion,625,11.7,,,,
LEGISLATIVE ELECTION,POINTE A RAQUETTE,AUGUST AND OCTOBER 2015,Amos Toussaint,LAPEH,286,5.4,,,,
LEGISLATIVE ELECTION,POINTE A RAQUETTE,AUGUST AND OCTOBER 2015,4 others,,,,,,,
LEGISLATIVE ELECTION,POINTE A RAQUETTE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,PORT-AU-PRINCE (1ERE),AUGUST AND OCTOBER 2015,Roger Millien,Fanmi L,"2,316",11,,,,
LEGISLATIVE ELECTION,PORT-AU-PRINCE (1ERE),AUGUST AND OCTOBER 2015,Patrick Severin,Inite Patr,"1,767",8.4,,,,
LEGISLATIVE ELECTION,PORT-AU-PRINCE (1ERE),AUGUST AND OCTOBER 2015,Lucsonne Janvier,Bouclier,"1,447",6.9,,,,
LEGISLATIVE ELECTION,PORT-AU-PRINCE (1ERE),AUGUST AND OCTOBER 2015,Pierre Vvisthlet Cesar,PHTK,"1,366",6.5,,,,
LEGISLATIVE ELECTION,PORT-AU-PRINCE (1ERE),AUGUST AND OCTOBER 2015,Johnson Joseph,KID,"1,156",5.5,,,,
LEGISLATIVE ELECTION,PORT-AU-PRINCE (1ERE),AUGUST AND OCTOBER 2015,Rony Timothee,Pitit Dess,"1,115",5.3,,,,
LEGISLATIVE ELECTION,PORT-AU-PRINCE (1ERE),AUGUST AND OCTOBER 2015,Job Glorius,Renmen Ayiti,"1,077",5.1,,,,
LEGISLATIVE ELECTION,PORT-AU-PRINCE (1ERE),AUGUST AND OCTOBER 2015,22 others,,,,,,,
LEGISLATIVE ELECTION,PORT-AU-PRINCE (1ERE),AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,PORT-AU-PRINCE (2EME),AUGUST AND OCTOBER 2015,Jean Rene Lochard,PHTK,"2,338",23.5,"12,774",49,,
